label,person_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,99,2.6770286560058594,2.650345802307129,2.7145395278930664,2.21085786819458,2.367739200592041,2.3373072147369385,2.3966219425201416,1.6005111932754517,2.104965925216675,2.4136080741882324,2.503882646560669,2.468672752380371,2.486008882522583,2.394775152206421,2.2257239818573,2.1948819160461426,2.060284376144409,2.21570086479187,2.697526454925537,2.7128467559814453,2.7694358825683594,2.465536594390869,2.5854341983795166,2.4159016609191895,2.4652092456817627,1.961405634880066,2.392979145050049,2.5452451705932617,2.671041488647461,2.6380553245544434,2.8279621601104736,2.7388370037078857,2.431384801864624,2.3998119831085205,2.5173840522766113,2.4533798694610596,1.5980552434921265,1.4546782970428467,1.586708426475525,-0.23294885456562042,-0.6011443734169006
0,99,2.629973888397217,2.605729579925537,2.6714892387390137,2.189098834991455,2.3442022800445557,2.2959020137786865,2.3554794788360596,1.589029312133789,2.08534836769104,2.4072868824005127,2.5007810592651367,2.4655020236968994,2.4952664375305176,2.402682065963745,2.224032402038574,2.193218231201172,2.063033103942871,2.21811842918396,2.651989459991455,2.670771837234497,2.728445291519165,2.4479126930236816,2.5653493404388428,2.3771965503692627,2.426487445831299,1.9513976573944092,2.369149923324585,2.539411783218384,2.667954206466675,2.6355361938476562,2.834444999694824,2.7456750869750977,2.429126739501953,2.398252010345459,2.5151124000549316,2.451726198196411,1.5848069190979004,1.4349039793014526,1.5105369091033936,-0.2325221598148346,-0.634576678276062
0,99,2.6968913078308105,2.6703078746795654,2.733344554901123,2.225367546081543,2.379284143447876,2.353611946105957,2.411377429962158,1.5958186388015747,2.1188924312591553,2.4094138145446777,2.5033557415008545,2.466344118118286,2.493595600128174,2.4034149646759033,2.222665309906006,2.1912763118743896,2.0734827518463135,2.210493326187134,2.71783709526062,2.7332699298858643,2.788804531097412,2.4767138957977295,2.5964620113372803,2.4308674335479736,2.4794745445251465,1.9519932270050049,2.4078705310821533,2.5306661128997803,2.659863233566284,2.626117706298828,2.823265314102173,2.738818407058716,2.416978359222412,2.386309862136841,2.5191516876220703,2.43562912940979,1.6177055835723877,1.4729750156402588,1.5155688524246216,-0.23807194828987122,-0.639542818069458
0,99,2.681288242340088,2.6570358276367188,2.7238078117370605,2.2261884212493896,2.3862733840942383,2.3430795669555664,2.4044528007507324,1.6168392896652222,2.121825933456421,2.3889713287353516,2.488692045211792,2.4538159370422363,2.5082204341888428,2.416839122772217,2.2147655487060547,2.184264898300171,2.1035971641540527,2.214291572570801,2.7143735885620117,2.732163429260254,2.791390895843506,2.490886688232422,2.61462664604187,2.434110641479492,2.485666275024414,1.982319712638855,2.418055772781372,2.526484251022339,2.660085439682007,2.627932548522949,2.847628593444824,2.7595021724700928,2.425349235534668,2.3946914672851562,2.553171157836914,2.438100814819336,1.648579716682434,1.4798635244369507,1.6063529253005981,-0.23345273733139038,-0.6014056205749512
0,99,2.573882579803467,2.5601141452789307,2.6213622093200684,2.1869497299194336,2.3297619819641113,2.2501184940338135,2.306225538253784,1.6167296171188354,2.0985677242279053,2.3289437294006348,2.4412782192230225,2.401901960372925,2.523045063018799,2.425089120864868,2.1785266399383545,2.1438887119293213,2.1604995727539062,2.18196964263916,2.621946096420288,2.6513795852661133,2.7042593955993652,2.46687912940979,2.5743329524993896,2.3587260246276855,2.4046452045440674,1.9924567937850952,2.384086847305298,2.4863710403442383,2.631779670715332,2.596529245376587,2.875858783721924,2.785292625427246,2.409261465072632,2.376246452331543,2.616633415222168,2.400310754776001,1.616718053817749,1.4673656225204468,1.503693699836731,-0.2750256061553955,-0.6717855334281921
0,99,2.467989683151245,2.4699532985687256,2.533637046813965,2.1771342754364014,2.3152196407318115,2.168221950531006,2.2242372035980225,1.6634379625320435,2.0836422443389893,2.352412462234497,2.478192090988159,2.4352643489837646,2.6042115688323975,2.5008585453033447,2.226067304611206,2.1880338191986084,2.249441146850586,2.2175588607788086,2.5400595664978027,2.5866236686706543,2.6403722763061523,2.4839982986450195,2.5850296020507812,2.3064212799072266,2.3509745597839355,2.0602495670318604,2.36673903465271,2.5075745582580566,2.663416862487793,2.626563549041748,2.9451889991760254,2.853105306625366,2.4524519443511963,2.417964458465576,2.694042444229126,2.413423538208008,1.628953218460083,1.4680356979370117,1.6100659370422363,-0.30524539947509766,-0.6426084041595459
0,99,2.6221492290496826,2.5993757247924805,2.663940668106079,2.165004014968872,2.3183233737945557,2.2862775325775146,2.344921350479126,1.5409824848175049,2.05979061126709,2.4081459045410156,2.504607677459717,2.4712109565734863,2.49328351020813,2.404376268386841,2.2260642051696777,2.196286201477051,2.045639753341675,2.222013235092163,2.6430935859680176,2.661140203475952,2.71724009513855,2.4058830738067627,2.521925687789917,2.3606960773468018,2.409062385559082,1.8737006187438965,2.338740587234497,2.541674852371216,2.6707818508148193,2.6406211853027344,2.8203160762786865,2.7358577251434326,2.4274682998657227,2.3981595039367676,2.479559898376465,2.4555318355560303,1.5750102996826172,1.4554423093795776,1.4910920858383179,-0.24327398836612701,-0.6783695220947266
0,99,2.5613622665405273,2.54728102684021,2.613724708557129,2.1770942211151123,2.3287343978881836,2.237133502960205,2.2967069149017334,1.590315341949463,2.0880863666534424,2.3951010704040527,2.5004899501800537,2.4640426635742188,2.5338449478149414,2.439638614654541,2.2250421047210693,2.1935195922851562,2.0954549312591553,2.22230863571167,2.608095645904541,2.6376609802246094,2.69435977935791,2.4545350074768066,2.5661990642547607,2.343571424484253,2.391533851623535,1.9561395645141602,2.3743960857391357,2.549565076828003,2.68868088722229,2.6554694175720215,2.886569023132324,2.796644926071167,2.451475143432617,2.4202585220336914,2.553689479827881,2.4582648277282715,1.5646367073059082,1.4576797485351562,1.5130785703659058,-0.26273927092552185,-0.6621569395065308
0,99,2.591897964477539,2.568370819091797,2.640242099761963,2.1690449714660645,2.331164598464966,2.2559752464294434,2.319737195968628,1.592454195022583,2.073251247406006,2.328117847442627,2.439807891845703,2.402985095977783,2.5273709297180176,2.421147346496582,2.1735939979553223,2.1398119926452637,2.163248062133789,2.173480272293091,2.6183063983917236,2.6393961906433105,2.702704906463623,2.439725399017334,2.560100793838501,2.344407081604004,2.3968136310577393,1.9647165536880493,2.3550868034362793,2.481243848800659,2.627723217010498,2.593111276626587,2.884941577911377,2.7800769805908203,2.404212474822998,2.3693618774414062,2.627042055130005,2.386906385421753,1.6774019002914429,1.4541579484939575,1.5947539806365967,-0.21807461977005005,-0.5966951847076416
0,99,2.6787924766540527,2.6490862369537354,2.7154593467712402,2.193837881088257,2.3528928756713867,2.3305509090423584,2.39131498336792,1.5534124374389648,2.079059600830078,2.410588502883911,2.503819704055786,2.467212200164795,2.484153985977173,2.3867058753967285,2.217090606689453,2.1863975524902344,2.0298197269439697,2.201707363128662,2.6915836334228516,2.704306125640869,2.7622671127319336,2.436232566833496,2.556628942489624,2.3981168270111084,2.4486312866210938,1.8922715187072754,2.363811731338501,2.524627685546875,2.6536760330200195,2.6192750930786133,2.8066513538360596,2.7116591930389404,2.40350079536438,2.3720955848693848,2.4660794734954834,2.4252898693084717,1.6170737743377686,1.4635225534439087,1.6103941202163696,-0.20928876101970673,-0.5736249685287476
0,99,2.5884690284729004,2.56801438331604,2.6375372409820557,2.1872804164886475,2.3427600860595703,2.255897283554077,2.3174257278442383,1.6182928085327148,2.0943188667297363,2.3180124759674072,2.433971405029297,2.3939366340637207,2.543626546859741,2.4356637001037598,2.1711604595184326,2.135211944580078,2.202847480773926,2.171226739883423,2.623091697692871,2.648359537124634,2.7091784477233887,2.4706521034240723,2.5863800048828125,2.355072021484375,2.405625820159912,2.0069448947906494,2.379333019256592,2.471869707107544,2.623309850692749,2.58560848236084,2.90555477142334,2.800734758377075,2.405086040496826,2.368816375732422,2.6735754013061523,2.3734257221221924,1.688542366027832,1.4708404541015625,1.5209898948669434,-0.22822289168834686,-0.6490397453308105
0,99,2.6479084491729736,2.6223220825195312,2.6911797523498535,2.203357219696045,2.362490177154541,2.305251121520996,2.36639404296875,1.6000128984451294,2.108652114868164,2.333601474761963,2.4412941932678223,2.4044620990753174,2.5091614723205566,2.4108283519744873,2.169553279876709,2.136028528213501,2.1421267986297607,2.171114444732666,2.682828903198242,2.7013652324676514,2.76210355758667,2.477358102798462,2.5990376472473145,2.4001362323760986,2.4511728286743164,1.9747239351272583,2.4041852951049805,2.467851400375366,2.6116182804107666,2.5770952701568604,2.8547263145446777,2.7596566677093506,2.3828136920928955,2.349118947982788,2.6003224849700928,2.3723347187042236,1.6732722520828247,1.4765807390213013,1.6247447729110718,-0.2376146763563156,-0.573411762714386
0,99,2.6968133449554443,2.669342517852783,2.737715482711792,2.226656198501587,2.386971950531006,2.352691888809204,2.415233850479126,1.5963037014007568,2.1150169372558594,2.470959186553955,2.553964853286743,2.521756887435913,2.4797446727752686,2.3937370777130127,2.259373426437378,2.2329211235046387,1.9831929206848145,2.2287464141845703,2.725623369216919,2.7408344745635986,2.8007705211639404,2.485509157180786,2.607839345932007,2.4375810623168945,2.489952802658081,1.9504201412200928,2.413170576095581,2.582207441329956,2.7017996311187744,2.6717617511749268,2.804089069366455,2.720210075378418,2.4417319297790527,2.414691209793091,2.4246745109558105,2.4729435443878174,1.555802345275879,1.458216667175293,1.6024386882781982,-0.23724788427352905,-0.5774730443954468
0,99,2.4506397247314453,2.462398052215576,2.5245723724365234,2.1997015476226807,2.3334012031555176,2.1598358154296875,2.212144374847412,1.673352837562561,2.1223666667938232,2.346991539001465,2.472316026687622,2.433413028717041,2.5875275135040283,2.4925954341888428,2.2135841846466064,2.1768782138824463,2.2047555446624756,2.2222883701324463,2.5447866916656494,2.600142240524292,2.6516976356506348,2.5184428691864014,2.6150131225585938,2.318875789642334,2.3591115474700928,2.075383424758911,2.406857967376709,2.5430753231048584,2.69870924949646,2.6642043590545654,2.965272903442383,2.878330707550049,2.480232000350952,2.4457876682281494,2.6784701347351074,2.4504218101501465,1.5021687746047974,1.4764854907989502,1.6217433214187622,-0.3408172130584717,-0.6328206062316895
0,99,2.4896302223205566,2.4884700775146484,2.547492504119873,2.1696200370788574,2.303417205810547,2.1758651733398438,2.22861385345459,1.624868631362915,2.0943377017974854,2.349822759628296,2.4689104557037354,2.427943468093872,2.565040349960327,2.470555305480957,2.202444553375244,2.167645215988159,2.200470209121704,2.2112600803375244,2.542131185531616,2.5860843658447266,2.635655164718628,2.460983991622925,2.5596234798431396,2.2938616275787354,2.336015224456787,2.0160982608795166,2.3646912574768066,2.5168769359588623,2.6691701412200928,2.6327340602874756,2.929276704788208,2.8440306186676025,2.444645881652832,2.412309408187866,2.670456647872925,2.4278786182403564,1.5338759422302246,1.483372449874878,1.634354591369629,-0.27350762486457825,-0.5964773893356323
0,99,2.6064107418060303,2.593698501586914,2.651244878768921,2.1747872829437256,2.3135762214660645,2.273552656173706,2.325507402420044,1.5286606550216675,2.0737059116363525,2.471128463745117,2.569756269454956,2.52772855758667,2.5294337272644043,2.431047201156616,2.2805328369140625,2.245851993560791,2.034111499786377,2.2555150985717773,2.6347734928131104,2.6622631549835205,2.7109897136688232,2.4151546955108643,2.520087957382202,2.353914737701416,2.3962836265563965,1.8587439060211182,2.348170518875122,2.560246467590332,2.6904218196868896,2.6535959243774414,2.8080852031707764,2.720773458480835,2.4330406188964844,2.4011895656585693,2.4256367683410645,2.4625089168548584,1.5459800958633423,1.470484972000122,1.5445160865783691,-0.25508227944374084,-0.6512510776519775
0,99,2.6056647300720215,2.593472957611084,2.6542856693267822,2.2011961936950684,2.34238862991333,2.2746686935424805,2.328617572784424,1.5864800214767456,2.118011236190796,2.441692590713501,2.532337188720703,2.496288776397705,2.4839627742767334,2.390453338623047,2.239684581756592,2.208491325378418,1.9869887828826904,2.22084903717041,2.6532037258148193,2.683633804321289,2.7350118160247803,2.473334312438965,2.5769715309143066,2.3796815872192383,2.422714948654175,1.9477527141571045,2.406136989593506,2.5564393997192383,2.68275785446167,2.6493589878082275,2.8047878742218018,2.715824604034424,2.424461603164673,2.3933796882629395,2.420736789703369,2.454092264175415,1.4541480541229248,1.4686341285705566,1.6224462985992432,-0.2804490923881531,-0.5808876752853394
